
2024/04/28 (15:05:25) | ===> btop++ v.1.3.2
2024/04/28 (15:05:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/30 (14:36:59) | ===> btop++ v.1.3.2
2024/04/30 (14:36:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/05 (14:22:48) | ===> btop++ v.1.3.2
2024/05/05 (14:22:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/09 (16:37:34) | ===> btop++ v.1.3.2
2024/05/09 (16:37:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/09 (16:37:49) | ===> btop++ v.1.3.2
2024/05/09 (16:37:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/10 (08:35:22) | ===> btop++ v.1.3.2
2024/05/10 (08:35:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/12 (14:13:49) | ===> btop++ v.1.3.2
2024/05/12 (14:13:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/23 (09:24:14) | ===> btop++ v.1.3.2
2024/05/23 (09:24:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/23 (15:27:21) | ===> btop++ v.1.3.2
2024/05/23 (15:27:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/23 (17:50:49) | ===> btop++ v.1.3.2
2024/05/23 (17:50:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/30 (19:37:19) | ===> btop++ v.1.3.2
2024/06/30 (19:37:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/04 (12:58:38) | ===> btop++ v.1.3.2
2024/07/04 (12:58:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/29 (15:09:47) | ===> btop++ v.1.3.2
2024/07/29 (15:09:47) | ERROR: Stall in Runner thread, restarting!
2024/07/29 (15:09:53) | ERROR: Stall in Runner thread, restarting!
